date,tweet,username,likes,retweets,source
2024-10-31,"Meu novo HB20 é impecável! Motor 1.0 turbo muito esperto e econômico, nota 10 para o desempenho urbano. #HB20 #Hyundai #CarroNovo",clienteFeliz_br,45,5,"Twitter for Android"
2024-10-30,"Alguém mais com barulho na suspensão traseira do Onix novo? Está insuportável na buraqueira de SP. Decepção. @ChevroletBR #Onix #ReclameAqui",reclamaAquiSP,2,15,"Twitter Web App"
2024-10-30,"Troquei meu carro antigo pelo Onix Premier e a central multimídia é um show. Conectividade perfeita! Recomendo muito. #Chevrolet #OnixPremier https://t.co/randomlink1",techCarLover,78,9,"iOS"
2024-10-29,"O consumo do HB20 1.0 aspirado é ridículo de bom. Viajei 400km e quase não senti no bolso. Economia de verdade. #HB20 #Economia",viajanteEcon,120,22,"Twitter for Android"
2024-10-29,"O acabamento interno do Onix poderia ser melhor, muito plástico duro. Pelo preço, esperava mais sofisticação. É um carro ok. #Onix #Acabamento",olharCritico,15,3,"Twitter Web App"
2024-10-28,"Comprei o Onix por causa dos 6 airbags e do pacote de segurança. Nesse quesito, a GM arrasa! Sinto-me seguro. #OnixSeguro #Segurança",paiDeFamilia,210,35,"iOS"
2024-10-28,"O painel digital do HB20 é LINDO! Moderno e intuitivo. O design da Hyundai melhorou DEMAIS. #HB202025 #Design",designCar,88,11,"Twitter for Android"
2024-10-27,"Ruído no motor do HB20! Parece um aspirador de pó. Já levei na concessionária e disseram que é 'característica'. Inaceitável. #ProblemaHB20 #ReclameAqui",motorBravo,5,55,"Twitter Web App"
2024-10-27,"A estabilidade do Onix em curvas é surpreendente. Dirigibilidade excelente e direção elétrica leve. Muito bom de guiar. #Onix #Dirigibilidade",pilotoUrbano,60,8,"iOS"
2024-10-26,"Estou pesquisando entre HB20 e Onix. Os dois são muito parecidos em preço. Difícil decidir, acho que vou pelo que tiver mais estoque. #DúvidaCarro",comprador2025,9,1,"Twitter for Android"
2024-10-26,"A manutenção do Onix é mais barata que a do HB20, segundo meu mecânico. Ponto positivo para a Chevrolet. #Manutenção #Onix",mecanicoOpina,33,4,"Twitter Web App"
2024-10-25,"O espaço interno do HB20 no banco de trás é MUITO apertado. Para quem tem família, é complicado. Falta espaço. @HyundaiBrasil #HB20Aperto",familiaGrande,18,6,"iOS"
2024-10-25,"O ar-condicionado do meu Onix 1.0 turbo não gela bem em dias de calor extremo. Fica fraco, alguém mais passa por isso? 🥵 #OnixTurbo #Calor",sofroNoTransito,11,10,"Twitter for Android"
